"COMID","COMCODE","COMTYPE","TYPEDESCR","COMNAME","COMLEVEL","PARENTNAME","PARENTCOMCODE","COMSTATE","STATENAME","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","CHAIRLNAME","CHAIRFNAME","CHAIRMNAME","CHAIROCODE","CHAIRDESC","RMMLNAME","RMMFNAME","RMMMNAME","RMMOCODE","RMMDESC","SD1LNAME","SD1FNAME","SD1MNAME","SD1TITLE","SD1MAJMIN","SD1PHONE","SD1EMAIL","GC1LNAME","GC1FNAME","GC1MNAME","GC1TITLE","GC1MAJMIN","GC1PHONE","GC1EMAIL","PS1LNAME","PS1FNAME","PS1MNAME","PS1TITLE","PS1MAJMIN","PS1PHONE","PS1EMAIL","PM1LNAME","PM1FNAME","PM1MNAME","PM1TITLE","PM1MAJMIN","PM1PHONE","PM1EMAIL","CK1LNAME","CK1FNAME","CK1MNAME","CK1TITLE","CK1MAJMIN","CK1PHONE","CK1EMAIL","SD2LNAME","SD2FNAME","SD2MNAME","SD2TITLE","SD2MAJMIN","SD2PHONE","SD2EMAIL","GC2LNAME","GC2FNAME","GC2MNAME","GC2TITLE","GC2MAJMIN","GC2PHONE","GC2EMAIL","PS2LNAME","PS2FNAME","PS2MNAME","PS2TITLE","PS2MAJMIN","PS2PHONE","PS2EMAIL","PM2LNAME","PM2FNAME","PM2MNAME","PM2TITLE","PM2MAJMIN","PM2PHONE","PM2EMAIL","CK2LNAME","CK2FNAME","CK2MNAME","CK2TITLE","CK2MAJMIN","CK2PHONE","CK2EMAIL"
15133,"COSCE","SS","State Senate","Senate Committee on Education","Committee","","",21,"Colorado","Room SCR 352 State Capitol","200 East Colfax Avenue","Denver","CO","80203-1784","(303) 866-3028","","","http://leg.colorado.gov/committees/education/2017-regular-session-0","Hill","Owen","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15154,"COJCLA","SJ","State Joint","Joint Committee on Legislative Audit","Committee","","",21,"Colorado","Audit Hearing Room, First Floor Legislative Services Building","200 East 14th Avenue","Denver","CO","80203","(303) 869-2804","","osa.lg@state.co.us","http://leg.colorado.gov/committees/legislative-audit-committee/2018-regular-session","Neville","Tim","P.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15220,"DESCHSS","SS","State Senate","Senate Committee on Health, Children, and Social Services","Committee","","",23,"Delaware","Legislative Hall","PO Box 1401","Dover","DE","19903","(302) 744-4129","","","http://legis.delaware.gov/CommitteeDetail?committeeId=481","Townsend","Bryan","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15237,"DEHCHR","SH","State House","House Committee on House Rules","Committee","","",23,"Delaware","Legislative Hall","PO Box 1401","Dover","DE","19903","(302) 744-4087","","","https://legis.delaware.gov/CommitteeDetail?committeeId=454","Longhurst","Valerie","J.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15273,"FLSCBI","SS","State Senate","Senate Committee on Banking and Insurance","Committee","","",1,"Florida","Room 320 Knott Building","404 South Monroe Street","Tallahassee","FL","32399-1100","(850) 487-5361","","","http://www.flsenate.gov/Committees/Show/BI/","Flores","Anitere","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15351,"GASCRIU","SS","State Senate","Senate Committee on Regulated Industries and Utilities","Committee","","",2,"Georgia","Room 121-I State Capitol","206 Washington Street","Atlanta","GA","30334","(404) 656-4700","","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=141&Session=25","Ginn","Frank","J.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15379,"GASCF","SS","State Senate","Senate Committee on Finance","Committee","","",2,"Georgia","Room 121-C State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 656-0034","","","http://www.senate.ga.gov/committees/en-US/committee.aspx?Committee=138&Session=25","Hufstetler","Chuck","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15401,"GAHCREG","SH","State House","House Committee on Regulated Industries","Committee","","",2,"Georgia","Room 402 State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 656-5143","","","http://www.house.ga.gov/Committees/en-US/committee.aspx?Committee=116&Session=24","Maxwell","Howard","R.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15416,"GAHCJA","SH","State House","House Committee on Judiciary - Non-Civil","Committee","","",2,"Georgia","Room 218 State Capitol","206 Washington Street","Atlanta","GA","30334","(404) 656-5943","(404) 656-6700","","http://www.house.ga.gov/COMMITTEES/en-US/committee.aspx?Committee=146&Session=24","Golick","Rich","M.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15444,"HIHCHED","SH","State House","House Committee on Higher Education","Committee","","",3,"Hawaii","Room 405 State Capitol","415 South Beretania Street","Honolulu","HI","96813","(808) 586-6210","(808) 586-6211","","http://www.capitol.hawaii.gov/committeepage.aspx?comm=HED&year=2018","McKelvey","Angus","L.K.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15461,"IDSCJR","SS","State Senate","Senate Committee on Judiciary and Rules","Committee","","",4,"Idaho","Room WW54 State Capitol Building","700 West Jefferson Street","Boise","ID","83720-0081","(208) 332-1317","","sjud@senate.idaho.gov","http://legislature.idaho.gov/sessioninfo/2018/standingcommittees/SJR/","Lodge","Patti","Anne","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15473,"IDHCLG","SH","State House","House Committee on Local Government","Committee","","",4,"Idaho","Room EW05 State Capitol Building","514 West Jefferson Street","Boise","ID","83720-0038","(208) 332-1147","","hloc@house.idaho.gov","http://legislature.idaho.gov/sessioninfo/2018/standingcommittees/HLOC/","Perry","Christy","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15486,"ILSCEA","SS","State Senate","Senate Committee on Executive","Committee","","",5,"Illinois","State Capitol","2nd & Capitol Streets","Springfield","IL","62706","(217) 782-5500","","","http://www.ilga.gov/senate/committees/members.asp?CommitteeID=1918","Harmon","Don","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15504,"ILHCFIA","SH","State House","House Committee on Financial Institutions","Committee","","",5,"Illinois","Room 114 Capitol Building","301 South Second Street","Springfield","IL","62706","(217) 782-8223","","","http://www.ilga.gov/house/committees/members.asp?CommitteeID=1901&GA=100","Ford","La Shawn","K.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15525,"ILHCAHS","SH","State House","House Committee on Appropriations - Human Services","Committee","","",5,"Illinois","Stratton Office Building","401 South Spring Street","Springfield","IL","62706","(217) 782-8223","","","http://www.ilga.gov/house/committees/members.asp?CommitteeID=1893&GA=100","Harris","Gregory","S.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15561,"INSCJ05","SS","State Senate","Subcommittee on Courts and Juvenile Justice","Subcommittee","Senate Committee on Judiciary","INSCJ",6,"Indiana","State House","200 West Washington Street","Indianapolis","IN","46204-2785","(317) 232-9400","","","http://iga.in.gov/legislative/2016/committees/courts_and_juvenile_justice_subcommittee_4220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15581,"INHCEAA","SH","State House","House Committee on Environmental Affairs","Committee","","",6,"Indiana","State House","200 West Washington Street","Indianapolis","IN","46204-2786","(317) 232-9600","","","http://iga.in.gov/legislative/2018/committees/environmental_affairs_0700","Wolkins","David","A.","CHM","Chairman","Errington","Sue","E.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15605,"IASCC","SS","State Senate","Senate Committee on Commerce","Committee","","",7,"Iowa","State Capitol","1007 East Grand Avenue","Des Moines","IA","50319","(515) 281-3371","","","http://www.legis.iowa.gov/committees/committee?ga=87&groupID=326","Chapman","Jake","","CHM","Chairman","Allen","Chaz","","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15619,"IAHCAA","SH","State House","House Committee on Appropriations","Committee","","",7,"Iowa","State Capitol","1007 East Grand Avenue","Des Moines","IA","50319","(515) 281-3221","","","http://www.legis.iowa.gov/committees/committee?ga=87&groupID=695","Grassley","Pat","","CHM","Chairman","Hall","Chris","C.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15642,"KSSCA","SS","State Senate","Senate Committee on Agriculture and Natural Resources","Committee","","",8,"Kansas","Room 159-S State House","300 SW Tenth Street","Topeka","KS","66612-1504","(785) 296-2456","","","http://kslegislature.org/li/b2017_18/committees/ctte_s_agriculture_and_natural_resources_1/","Kerschen","Dan","J.","CHM","Chairman","Francisco","Marci","A.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15655,"KSSCPHW","SS","State Senate","Senate Committee on Public Health and Welfare","Committee","","",8,"Kansas","Room 118-N State House","300 SW Tenth Street","Topeka","KS","66612-1504","(785) 296-2456","","","http://kslegislature.org/li/b2017_18/committees/ctte_s_phw_1/","Schmidt","Vicki","L.","CHM","Chairman","Kelly","Laura","J.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15672,"KSHCJ","SH","State House","House Committee on Judiciary","Committee","","",8,"Kansas","Room 112-N Kansas State Capitol","300 SW Tenth Street","Topeka","KS","66612-1504","(785) 296-5805","","","http://kslegislature.org/li/b2017_18/committees/ctte_h_jud_1/","Finch","Blaine","","CHM","Chairman","Carmichael","John","","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15697,"KSJCPIB","SJ","State Joint","Joint Committee on Pensions, Investments, and Benefits","Committee","","",8,"Kansas","Kansas State Capitol","300 SW Tenth Street","Topeka","KS","66612-1504","(785) 296-2456","","","http://kslegislature.org/li/b2017_18/committees/ctte_jt_pensions_1/","Longbine","Jeff","S.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15720,"KYSCSLG","SS","State Senate","Senate Committee on State and Local Government","Committee","","",9,"Kentucky","Room 154 Capitol Annex","700 Capital Avenue","Frankfort","KY","40601","(502) 564-8100","","","http://www.lrc.ky.gov/committee/standing/StGov(S)/home.htm","Bowen","Joe","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15741,"KYJICAR","SJ","State Joint","Interim Joint Committee on Appropriations and Revenue","Committee","","",9,"Kentucky","Capitol Annex","700 Capitol Avenue","Frankfort","KY","40601","(502) 564-8100","","","http://www.lrc.ky.gov/Committee/interim%20joint/A&R/home.htm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15761,"LASCNR","SS","State Senate","Senate Committee on Natural Resources","Committee","","",10,"Louisiana","State Capitol","900 North Third Street","Baton Rouge","LA","70804","(225) 342-2576","","snatr@legis.state.la.us","http://senate.la.gov/NaturalResources/","Chabert","Norby","N.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15775,"LAHCJ","SH","State House","House Committee on Judiciary","Committee","","",10,"Louisiana","State Capitol","900 North Third Street","Baton Rouge","LA","70804","(225) 342-6945","","","http://house.louisiana.gov/H_Cmtes/Judiciary.aspx","Jackson","Katrina","R.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15801,"MEJCAFA","SJ","State Joint","Joint Committee on Appropriations and Financial Affairs","Committee","","",11,"Maine","Room 228","5 State House Station","Augusta","ME","04333-0005","(207) 287-1635","","","http://legislature.maine.gov/house/jt_com/afa.htm","Hamper","James","M.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15819,"MDSCBT05","SS","State Senate","Subcommittee on Capital Budget","Subcommittee","Senate Committee on Budget and Taxation","MDSCBT",12,"Maryland","Room 3W Miller Senate Office Building","11 Bladen Street","Annapolis","MD","21401-1991","(410) 841-3690","(410) 841-3091","","http://msa.maryland.gov/msa/mdmanual/05sen/html/com/01bud.html","DeGrange","James","E.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15847,"MDHCA","SH","State House","House Committee on Appropriations","Committee","","",12,"Maryland","Room 121 House Office Building","6 Bladen Street","Annapolis","MD","21401-1912","(410) 841-3407","(410) 841-3850","","http://msa.maryland.gov/msa/mdmanual/06hse/html/com/01app.html","McIntosh","Maggie","L.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15866,"MDHCEM40","SH","State House","Subcommittee on Unemployment Insurance","Subcommittee","House Committee on Economic Matters","MDHCEM",12,"Maryland","Room 231 House Office Building","6 Bladen Street","Annapolis","MD","21401","(410) 841-3519","(410) 841-3558","","http://msa.maryland.gov/msa/mdmanual/06hse/html/com/03eco.html","Glenn","Cheryl","D.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15881,"MDHCWM20","SH","State House","Subcommittee on Finance Resources","Subcommittee","House Committee on Ways and Means","MDHCWM",12,"Maryland","Room 131 House Office Building","6 Bladen Street","Annapolis","MD","21401","(410) 841-3469","(410) 841-3777","","http://msa.maryland.gov/msa/mdmanual/06hse/html/com/07ways.html","Turner","Frank","S.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15914,"MDJCCYF","SJ","State Joint","Joint Committee on Children, Youth, and Families","Committee","","",12,"Maryland","Legislative Services Building","90 State Circle","Annapolis","MD","21401-1991","(410) 946-5510","","","http://msa.maryland.gov/msa/mdmanual/07leg/html/com/04child.html","King","Nancy","J.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
15966,"MAJCEA","SJ","State Joint","Joint Committee on Elder Affairs","Committee","","",13,"Massachusetts","Room 109-E","24 Beacon Street","Boston","MA","02133","(617) 722-1612","","","http://malegislature.gov/Committees/Detail/J44","L'Italien","Barbara","A.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16004,"MISCNR","SS","State Senate","Senate Committee on Natural Resources","Committee","","",14,"Michigan","Room 210 Farnum Building","123 West Allegan Street","Lansing","MI","48909","(517) 373-1721","","OfcSMCC@senate.michigan.gov","http://www.senate.michigan.gov/committee/natlresources.html","Casperson","Tom","A.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16066,"MNSCCI","SS","State Senate","Senate Committee on Capital Investment","Committee","","",15,"Minnesota","Room 1200 State Office Building","100 Dr. Martin Luther King Jr. Boulevard","St. Paul","MN","55155","(651) 296-3903","","","http://www.senate.mn/committees/committee_bio.php?cmte_id=1002&ls=","Senjem","David","H.","CHM","Chairman","Pappas","Sandra","L.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16139,"MSSCEDT","SS","State Senate","Senate Committee on Economic Development","Committee","","",25,"Mississippi","State Capitol","PO Box 1018","Jackson","MS","39215-1018","(601) 359-3770","","","http://billstatus.ls.state.ms.us/htms/s_cmtememb.xml","Horhn","John","A.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16158,"MSSCPP","SS","State Senate","Senate Committee on Public Property","Committee","","",25,"Mississippi","State Capitol","PO Box 1018","Jackson","MS","39215-1018","(601) 359-3770","","","http://billstatus.ls.state.ms.us/htms/s_cmtememb.xml","Blount","David","L.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16176,"MSHCIC","SH","State House","House Committee on Interstate Cooperation","Committee","","",25,"Mississippi","State Capitol","PO Box 1018","Jackson","MS","39215-1018","(601) 359-3360","","","http://billstatus.ls.state.ms.us/htms/h_cmtememb.xml","Arnold","Tracy","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16194,"MSHCWM","SH","State House","House Committee on Ways and Means","Committee","","",25,"Mississippi","State Capitol","PO Box 1018","Jackson","MS","39215-1018","(601) 359-3360","","","http://billstatus.ls.state.ms.us/htms/h_cmtememb.xml","Smith","Jeffrey","C.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16274,"MOJCLR","SJ","State Joint","Joint Committee on Legislative Research","Committee","","",26,"Missouri","Room 1 State Capitol Building","201 West Capitol Building","Jefferson City","MO","65101","(573) 751-3766","","","http://www.house.mo.gov/CommitteeIndividual.aspx?com=01502&year=2017&code=R","Dixon","Bob","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16291,"MTSCPHW","SS","State Senate","Senate Committee on Public Health, Welfare and Safety","Committee","","",27,"Montana","Room 317 State Capitol","1301 East 6th Avenue","Helena","MT","59620","(406) 444-7363","","","http://leg.mt.gov/css/Committees/Session/Membership.asp?CommitteeID=1024&HouseID=2&SessionID=111","Howard","David","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16307,"MTHCNR","SH","State House","House Committee on Natural Resources","Committee","","",27,"Montana","Room 172 State Capitol","1301 East 6th Avenue","Helena","MT","59620","(406) 444-4877","","","http://leg.mt.gov/css/Committees/Session/Membership.asp?CommitteeID=1039&HouseID=1&SessionID=111","White","Kerry","E.","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
16331,"NESCHHS","SS","State Senate","Senate Committee on Health and Human Services","Committee","","",28,"Nebraska","Room 1510 State Capitol","1445 K Street","Lincoln","NE","68509","(402) 471-2731","","","http://news.legislature.ne.gov/hea/","Riepe","Merv","","CHM","Chairman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
