"OFCID","OFCTYPE","TYPEDESCR","OFCNAME","OFCSTATE","STATENAME","OFCORDER","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","OFFICERLNAME","OFFICERFNAME","OFFICERMNAME","SDLNAME","SDFNAME","SDMNAME","SDTITLE","SDPHONE","SDEMAIL","GCLNAME","GCFNAME","GCMNAME","GCTITLE","GCPHONE","GCEMAIL","LDLNAME","LDFNAME","LDMNAME","LDTITLE","LDPHONE","LDEMAIL","PSLNAME","PSFNAME","PSMNAME","PSTITLE","PSPHONE","PSEMAIL"
113,"SH","State House","House Republican Freshman Leader",34,"North Carolina",12,"Room 306C Legislative Office Building","300 North Salisbury Street","Raleigh","NC","27603-5925","(919) 733-5931","","Destin.Hall@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","Hall","Destin","C.","","","","","","","","","","","","","","","","","","","","","","","",""
115,"SH","State House","House Principal Clerk",34,"North Carolina",23,"Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 733-3451","","jamesw@ncleg.net","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","White","James","","","","","","","","","","","","","","","","","","","","","","","","",""
1271,"SS","State Senate","Sergeant at Arms",41,"South Carolina",7,"Gressette Building","","Columbia","SC","29202","(803) 212-6730","","JimMelton@scsenate.gov","","Melton","James","R.","","","","","","","","","","","","","","","","","","","","","","","",""
116,"SH","State House","House Sergeant-At-Arms",34,"North Carolina",24,"Legislative Building","16 West Jones Street","Raleigh","NC","27601","(919) 733-3451","","","http://www.ncleg.net/gascripts/members/leadershipList.pl?sChamber=house","Shepheard","Garland","","","","","","","","","","","","","","","","","","","","","","","","",""
141,"SH","State House","House Majority Whip",51,"Wyoming",4,"State Capitol","200 West 24th Street","Cheyenne","WY","82002","(307) 777-7881","(307) 777-5466","","http://legisweb.state.wy.us/LegislatorSummary/Leadership.aspx","Sommers","Albert","P.","","","","","","","","","","","","","","","","","","","","","","","",""
155,"SS","State Senate","Chief Clerk of the Senate",50,"Wisconsin",11,"State Capitol","PO Box 7882","Madison","WI","53707-7882","(608) 266-2517","","Jeff.Renk@legis.wisconsin.gov","http://legis.wisconsin.gov/senate/scc/","Renk","Jeff","","","","","","","","","","","","","","","","","","","","","","","","",""
171,"SS","State Senate","Senate Majority Whip",18,"Arizona",3,"Room 212 Capitol Complex- Senate","1700 West Washington Street","Phoenix","AZ","85007-2890","(602) 926-5895","","ggriffin@azleg.gov","http://www.azleg.gov/leadership/?body=S","Griffin","Gail","","","","","","","","","","","","","","","","","","","","","","","","",""
186,"SS","State Senate","Senate Assistant President Pro Tempore-1st District",19,"Arkansas",4,"320 State Capitol Building","500 Woodlane Avenue","Little Rock","AR","72201-1089","(501) 269-2703","","Missy.Irvin@senate.ar.gov","http://www.arkansas.gov/senate/senate_officers.html","Irvin","Missy","Thomas","","","","","","","","","","","","","","","","","","","","","","","",""
199,"SS","State Senate","Senate Majority Leader",23,"Delaware",2,"Legislative Hall","PO Box 1401","Dover","DE","19903","(302) 744-4191","","MargaretRose.Henry@state.de.us","http://legis.delaware.gov/Senate/Leadership","Henry","Margaret","Rose","","","","","","","","","","","","","","","","","","","","","","","",""
215,"SS","State Senate","Senate Majority Floor Leader",3,"Hawaii",5,"Room 213 State Capitol","415 South Beretania Street","Honolulu","HI","96813","(808) 586-6760","(808) 586-6689","senkkahele@capitol.hawaii.gov","http://www.capitol.hawaii.gov/members/leadership.aspx?chamber=S","Kahele","Kaiali'i","","","","","","","","","","","","","","","","","","","","","","","","",""
234,"SS","State Senate","Senate Minority Leader",7,"Iowa",9,"State Capitol","1007 East Grand Avenue","Des Moines","IA","50319","(515) 281-5307","(515) 242-5212","janet.petersen@legis.iowa.gov","http://www.legis.iowa.gov/legislators/leadership","Petersen","Janet","","","","","","","","","","","","","","","","","","","","","","","","",""
252,"SH","State House","House Assistant Majority Leader",7,"Iowa",6,"State Capitol","1007 East Grand Avenue","Des Moines","IA","50319","(515) 281-3221","(515) 281-6958","jarad.klein@legis.iowa.gov","http://www.legis.iowa.gov/legislators/legislator?ga=86&personID=9408","Klein","Jarad","J.","","","","","","","","","","","","","","","","","","","","","","","",""
276,"SH","State House","House Minority Leader",8,"Kansas",7,"Room 359-W State House","300 SW 10th Avenue","Topeka","KS","66612-1504","(785) 296-7630","","jim.ward@house.ks.gov","http://kslegislature.org/li/b2017_18/chamber/house/leadership/","Ward","James","J.","","","","","","","","","","","","","","","","","","","","","","","",""
295,"SH","State House","Speaker of the House",11,"Maine",1,"Room 303 2 State House Station","","Augusta","ME","04333-0002","(207) 287-1300","(207) 287-1308","Sara.Gideon@legislature.maine.gov","http://legislature.maine.gov/house/spk_main.htm","Gideon","Sara","","Hicks","Ana","","Chief of Staff","(207) 287-1300","Ana.Hicks@legislature.maine.gov","","","","","","","","","","","","","","","","","",""
316,"SS","State Senate","Senate Assistant Majority Leader",15,"Minnesota",8,"Room 3219 Minnesota Senate Building","95 University Avenue, West","St. Paul","MN","55155","(651) 296-4123","","sen.eric.pratt@senate.mn","http://www.senate.mn/members/index.php?ls=#leader","Pratt","Eric","R.","","","","","","","","","","","","","","","","","","","","","","","",""
339,"SH","State House","House Assistant Majority Leader",15,"Minnesota",8,"Room 549 State Office Building","100 Dr. Martin Luther King Jr. Boulevard","St. Paul","MN","55155","(651) 296-5063","","rep.marion.oneill@house.mn","http://www.house.leg.state.mn.us/members/houseleaders.asp","O'Neill","Marion","","","","","","","","","","","","","","","","","","","","","","","","",""
355,"SH","State House","Assembly Minority Caucus Vice Chairperson",50,"Wisconsin",12,"Room 124 North State Capitol","PO Box 8952","Madison","WI","53708-8952","(608) 266-0631","(608) 282-3694","Rep.Doyle@legis.wisconsin.gov","http://docs.legis.wisconsin.gov/2017/legislators/assembly","Doyle","Steve","","","","","","","","","","","","","","","","","","","","","","","","",""
372,"SS","State Senate","Senate Minority Whip",48,"Washington",18,"Room 407 Legislative Building","416 Sid Snyder Avenue, SW","Olympia","WA","98504","(360) 786-7618","","barbara.bailey@leg.wa.gov","http://src.wastateleg.org/senators/","Bailey","Barbara","","","","","","","","","","","","","","","","","","","","","","","","",""
387,"SH","State House","House Majority Caucus Chair",48,"Washington",5,"Room 434B Legislative Building","416 Sid Snyder Avenue, SW","Olympia","WA","98504","(360) 786-7838","","https://dlr.leg.wa.gov/memberemail/mailform.aspx?chamber=h&district=37&position=2","http://www.leg.wa.gov/house/representatives/Pages/pettigrew.aspx","Pettigrew","Eric","","","","","","","","","","","","","","","","","","","","","","","","",""
408,"SS","State Senate","Senate Minority Leader",47,"Virginia",3,"Room 613 General Assembly Building","910 Capitol Square","Richmond","VA","23219","(804) 698-7535","(804) 698-7651","district35@senate.virginia.gov","http://apps.senate.virginia.gov/Senator/memberpage.php?id=S32","Saslaw","Richard","L.","","","","","","","","","","","","","","","","","","","","","","","",""
422,"SS","State Senate","Senate Assistant Minority Leader",46,"Vermont",6,"State House","115 State Street","Montpelier","VT","05633-5301","(802) 828-1110","","kjmbjm@aol.com","http://legislature.vermont.gov/people/single/2018/14611","Vacant","","","","","","","","","","","","","","","","","","","","","","","","","",""
439,"SH","State House","House Majority Leader",45,"Utah",2,"350 North State Street","PO Box 145030","Salt Lake City","UT","84114","(801) 538-1029","","bradwilson@le.utah.gov","http://le.utah.gov/house2/leadership.jsp","Wilson","Brad","R.","","","","","","","","","","","","","","","","","","","","","","","",""
454,"SH","State House","Deputy Speaker of the House",43,"Tennessee",3,"Suite 18 Legislative Plaza","301 6th Avenue North","Nashville","TN","37243","(615) 741-0750","(615) 253-0213","rep.steve.mcdaniel@capitol.tn.gov","http://www.capitol.tn.gov/house/members/leadership.html","McDaniel","Steve","K.","","","","","","","","","","","","","","","","","","","","","","","",""
469,"SH","State House","House Republican Assistant Floor Leader",43,"Tennessee",11,"Suite 18A Legislative Plaza","301 6th Avenue North","Nashville","TN","37243","(615) 741-6890","(615) 253-0380","rep.ron.gant@capitol.tn.gov","http://www.capitol.tn.gov/house/members/leadership.html","Gant","Ron","M.","","","","","","","","","","","","","","","","","","","","","","","",""
485,"SS","State Senate","Senate Minority Floor Leader",39,"Pennsylvania",4,"Room 535 Capitol Building","501 North Third Street","Harrisburg","PA","17120","(717) 787-7683","(717) 783-5976","costa@pasenate.com","http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate/officers.cfm","Costa","Jay","","","","","","","","","","","","","","","","","","","","","","","","",""
499,"SS","State Senate","Senate Minority Policy Committee Chairman",39,"Pennsylvania",16,"Room 458 Capitol Building","501 North Third Street","Harrisburg","PA","17120-3018","(717) 787-4236","(717) 783-1257","boscola@pasenate.com","http://www.legis.state.pa.us/cfdocs/legis/home/member_information/senate/officers.cfm","Boscola","Lisa","M.","","","","","","","","","","","","","","","","","","","","","","","",""
512,"SH","State House","House Minority Appropriations Committee Chair",39,"Pennsylvania",11,"Room 512E Capitol Building","501 North Third Street","Harrisburg","PA","17120-2164","(717) 783-1540","(717) 787-2334","http://www.pahouse.com/25/Contact/","http://www.legis.state.pa.us/cfdocs/legis/home/member_information/house_bio.cfm?id=86","Markosek","Joseph","F.","","","","","","","","","","","","","","","","","","","","","","","",""
527,"SH","State House","House Republican Leader",38,"Oregon",13,"Room 354 State Capitol","900 Court Street, NE","Salem","OR","97301","(503) 986-1400","","Rep.MikeMcLane@state.or.us","http://www.oregonlegislature.gov/houserepublicans/Pages/leaders.aspx","McLane","Mike","","","","","","","","","","","","","","","","","","","","","","","","",""
544,"SH","State House","Speaker Pro Tempore",37,"Oklahoma",2,"Room 411 State Capitol Building","2300 North Lincoln Boulevard","Oklahoma City","OK","73105","(405) 557-7325","","haroldwright@okhouse.gov","http://www.okhouse.gov/Members/Leadership.aspx","Wright","Harold","","","","","","","","","","","","","","","","","","","","","","","","",""
578,"SS","State Senate","Senate Majority Whip",36,"Ohio",4,"1st Floor Senate Building","1 Capitol Square","Columbus","OH","43215","(614) 644-7613","","http://ohiosenate.gov/manning/contact","http://www.legislature.ohio.gov/legislators/leadership","Manning","Gayle","L.","","","","","","","","","","","","","","","","","","","","","","","",""
593,"SH","State House","House Assistant Minority Whip",36,"Ohio",10,"10th Floor Vern Riffe Center","77 South High Street","Columbus","OH","43215-6111","(614) 466-5786","(614) 719-3585","http://www.ohiohouse.gov/brigid-kelly/contact","https://www.legislature.ohio.gov/legislators/leadership","Kelly","Brigid","","","","","","","","","","","","","","","","","","","","","","","","",""
607,"SS","State Senate","Senate Vice President Pro Tempore",33,"New York",4,"Room 711 Legislative Office Building","","Albany","NY","12247","(518) 455-2181","(518) 455-2271","Farley@nysenate.gov","https://www.nysenate.gov/senator/hugh-t-farley","Vacant","","","","","","","","","","","","","","","","","","","","","","","","","",""
632,"SS","State Senate","Senate Secretary of the Democratic Conference",33,"New York",34,"Room 903 Legislative Office Building","188 State Street","Albany","NY","12247","(518) 455-3451","(518) 426-6854","montgome@nysenate.gov","http://www.nysenate.gov/senate-leadership","Montgomery","Velmanette","","","","","","","","","","","","","","","","","","","","","","","","",""
647,"SH","State House","Assembly Assistant Majority Leader",33,"New York",10,"Room 551 Legislative Office Building","","Albany","NY","12248","(518) 455-5721","(518) 455-5948","hikindD@nyassembly.gov","http://nyassembly.gov/mem/leadership/","Hikind","Dov","","","","","","","","","","","","","","","","","","","","","","","","",""
663,"SH","State House","Assembly Minority Whip",33,"New York",28,"Room 635 Legislative Office Building","","Albany","NY","12248","(518) 455-5652","","raiaa@nyassembly.gov","http://nyassembly.gov/mem/leadership/","Raia","Andrew","P.","","","","","","","","","","","","","","","","","","","","","","","",""
679,"SS","State Senate","Senate Majority Floor Leader",20,"California",3,"Room 313 State Capitol","1303 Tenth Street","Sacramento","CA","95814-4900","(916) 651-4017","(916) 651-4917","http://sd17.senate.ca.gov/send-e-mail","http://sd17.senate.ca.gov/","Monning","Bill","","","","","","","","","","","","","","","","","","","","","","","","",""
701,"SH","State House","Assembly Republican Whip",20,"California",16,"State Capitol","1303 Tenth Street","Sacramento","CA","95814-0012","(916) 319-2077","(916) 319-2177","http://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD77&keepThis=true&","http://arc.asm.ca.gov/member/AD77/","Vacant","","","","","","","","","","","","","","","","","","","","","","","","","",""
715,"SH","State House","Speaker Pro Tempore of the House",26,"Missouri",2,"Room 301 State Capitol Building","201 West Capitol Avenue","Jefferson City","MO","65101","(573) 751-2210","","elijah.haahr@house.mo.gov","http://www.house.mo.gov/houseleadership.aspx","Haahr","Elijah","","","","","","","","","","","","","","","","","","","","","","","","",""
730,"SS","State Senate","Senate Majority Whip",27,"Montana",6,"State Capitol","1301 East 6th Avenue","Helena","MT","59620","(406) 444-4800","(406) 444-4825","Sen.Cary.Smith@mt.gov","http://leg.mt.gov/css/senate/Default.asp#leaders","Smith","Cary","L.","","","","","","","","","","","","","","","","","","","","","","","",""
749,"SS","State Senate","Senate Majority Leader",29,"Nevada",3,"Legislative Building","401 South Carson Street","Carson City","NV","89701","(702) 772-5544","","Aaron.Ford@sen.state.nv.us","http://www.leg.state.nv.us/App/Legislator/A/Senate/79th2017","Ford","Aaron","D.","","","","","","","","","","","","","","","","","","","","","","","",""
763,"SH","State House","Assembly Minority Floor Leader",29,"Nevada",9,"Legislative Building","401 South Carson Street","Carson City","NV","89701","(702) 410-6645","","Paul.Anderson@asm.state.nv.us","http://www.leg.state.nv.us/App/Legislator/A/Assembly/79th2017","Vacant","","","","","","","","","","","","","","","","","","","","","","","","","",""
786,"SS","State Senate","Senate Conference Leader",31,"New Jersey",12,"State House","125 West State Street","Trenton","NJ","08625-1101","(609) 847-3600","(609) 984-8148","SenOroho@njleg.org","http://www.njleg.state.nj.us/members/leadership.asp","Oroho","Steven","V.","","","","","","","","","","","","","","","","","","","","","","","",""
803,"SH","State House","General Assembly Deputy Speaker",31,"New Jersey",12,"State House","125 West State Street","Trenton","NJ","08625-1101","(609) 847-3500","(609) 292-2386","AsmSchaer@njleg.org","http://www.njleg.state.nj.us/members/leadership.asp","Schaer","Gary","S.","","","","","","","","","","","","","","","","","","","","","","","",""
819,"SH","State House","General Assembly Republican Leader",31,"New Jersey",29,"State House","125 West State Street","Trenton","NJ","08625","(609) 847-3400","(609) 633-9806","AsmBramnick@njleg.org","http://www.njleg.state.nj.us/members/bio.asp?Leg=222","Bramnick","Jon","M.","","","","","","","","","","","","","","","","","","","","","","","",""
840,"SS","State Senate","Senate Deputy President Pro Tempore",22,"Connecticut",5,"Room 2200 Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-5302","","steve.cassano@cga.ct.gov","https://cga.ct.gov/olm/guides/guide.asp","Cassano","Stephen","T.","","","","","","","","","","","","","","","","","","","","","","","",""
856,"SS","State Senate","Senate President Pro Tempore",21,"Colorado",2,"Room 346 Colorado State Capitol","200 East Colfax Avenue","Denver","CO","80203-1784","(303) 866-6360","","senatorsonnenberg@gmail.com","http://leg.colorado.gov/legislators?session_id=10171","Sonnenberg","Jerry","","","","","","","","","","","","","","","","","","","","","","","","",""
872,"SH","State House","House Minority Caucus Chair",21,"Colorado",11,"Room 307 Colorado State Capitol","200 East Colfax Avenue","Denver","CO","80203-1784","(303) 866-2906","","lori.saine.house@state.co.us","http://leg.colorado.gov/legislators?session_id=10171","Saine","Lori","A.","","","","","","","","","","","","","","","","","","","","","","","",""
883,"SS","State Senate","Senate Democratic Leader",2,"Georgia",8,"Room 121-B State Capitol Building","206 Washington Street","Atlanta","GA","30334","(404) 656-0085","(404) 651-7071","stevehenson@mindspring.com","http://www.senate.ga.gov/senators/en-US/SenateLeadership2018.aspx","Henson","Stephen","B.","","","","","","","","","","","","","","","","","","","","","","","",""
898,"SH","State House","House Minority Caucus Secretary",2,"Georgia",13,"Room 604-G Coverdell Legislative Office Building","18 Capitol Square","Atlanta","GA","30334","(404) 656-0265","(404) 651-8086","pat@patgardner.org","http://www.house.ga.gov/Representatives/en-US/Leadership.aspx","Gardner","Patricia","P.","","","","","","","","","","","","","","","","","","","","","","","",""
915,"SH","State House","House Assistant Majority Leader",4,"Idaho",3,"State Capitol Building","514 West Jefferson Street","Boise","ID","83720-0038","(208) 332-1120","(208) 334-5397","bcrane@house.idaho.gov","http://legislature.idaho.gov/house/leadership/","Crane","Brent","J.","","","","","","","","","","","","","","","","","","","","","","","",""
938,"SS","State Senate","Senate Majority Caucus Whip",5,"Illinois",10,"Room M114 Capitol Building","301 South Second Street","Springfield","IL","62706","(217) 782-1607","","jcollins@senatedem.ilga.gov","http://www.ilga.gov/senate/Senator.asp?GA=100&MemberID=2328","Collins","Jacqueline","Y.","","","","","","","","","","","","","","","","","","","","","","","",""
955,"SH","State House","House Assistant Majority Leader",5,"Illinois",6,"Room 200-8S Stratton Office Building","401 South Spring Street","Springfield","IL","62706","(217) 782-3186","(217) 558-4552","repjgordon@gmail.com","http://www.ilga.gov/house/Rep.asp?GA=99&MemberID=2167","Gordon-Booth","Jehan","A.","","","","","","","","","","","","","","","","","","","","","","","",""
974,"SH","State House","House Minority Caucus Chair",5,"Illinois",22,"Room 314 Capitol Building","301 South Second Street","Springfield","IL","62706","(217) 782-0535","","demmer@ilhousegop.org","http://www.ilga.gov/house/100th_House_Officers.pdf","Demmer","Tom","","","","","","","","","","","","","","","","","","","","","","","","",""
995,"SH","State House","Speaker of the House",6,"Indiana",1,"State House","200 West Washington Street","Indianapolis","IN","46204-2786","(317) 232-9600","","H88@iga.in.gov","http://www.indianahouserepublicans.com/index.php?src=directory&view=members&srctype=Leadership_Members","Bosma","Brian","C.","","","","","","","","","","","","","","","","","","","","","","","",""
1008,"SH","State House","House Majority Deputy Speaker",22,"Connecticut",5,"Room 4013 Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-8585","","Juan.Candelaria@cga.ct.gov","http://www.housedems.ct.gov/leadership","Candelaria","Juan","R.","","","","","","","","","","","","","","","","","","","","","","","",""
1023,"SH","State House","House Assistant Minority Whip",6,"Indiana",22,"State House","200 West Washington Street","Indianapolis","IN","46204-2786","(317) 232-9600","","H92@iga.in.gov","http://indianahousedemocrats.org/members/leadership/","Macer","Karlee","D.","","","","","","","","","","","","","","","","","","","","","","","",""
1040,"SH","State House","House Assistant Majority Leader",22,"Connecticut",38,"Room 5007 Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-8568","","John.Hampton@cga.ct.gov","http://www.housedems.ct.gov/leadership","Hampton","John","K.","","","","","","","","","","","","","","","","","","","","","","","",""
1062,"SH","State House","House Majority Caucus Chair",9,"Kentucky",4,"Room 370 Capitol Annex","700 Capital Avenue","Frankfort","KY","40601","(502) 564-2217","","David.Meade@lrc.ky.gov","http://www.lrc.ky.gov/House.htm","Meade","David","","","","","","","","","","","","","","","","","","","","","","","","",""
1078,"SH","State House","House Assistant Minority Leader",22,"Connecticut",64,"Room 4200 Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-8700","","Bill.Simanski@housegop.ct.gov","http://www.cthousegop.com/simanski/main","Simanski","William","J.","","","","","","","","","","","","","","","","","","","","","","","",""
1095,"SH","State House","Speaker Pro Tempore of the House",13,"Massachusetts",3,"Room 370 State House","24 Beacon Street","Boston","MA","02133","(617) 722-2600","(617) 722-2313","Patricia.Haddad@mahouse.gov","http://malegislature.gov/Legislators/Leadership/House","Haddad","Patricia","A.","","","","","","","","","","","","","","","","","","","","","","","",""
1118,"SS","State Senate","Senate President",41,"South Carolina",1,"Gressette Building","","Columbia","SC","29202","(803) 734-2080","","http://www.scstatehouse.gov/email.php?T=M&C=238636335","http://www.scstatehouse.gov/member.php?code=0238636335","Bryant","Kevin","L.","","","","","","","","","","","","","","","","","","","","","","","",""
1133,"SS","State Senate","Senate President Pro Tempore",12,"Maryland",2,"Room 422 James Senate Office Building","11 Bladen Street","Annapolis","MD","21401","(410) 841-3165","(410) 841-3138","nathaniel.mcfadden@senate.state.md.us","http://msa.maryland.gov/msa/mdmanual/05sen/html/msa12172.html","McFadden","Nathaniel","J.","","","","","","","","","","","","","","","","","","","","","","","",""
1147,"SH","State House","House Deputy Majority Leader",12,"Maryland",5,"Room 362 Lowe House Office Building","6 Bladen Street","Annapolis","MD","21401","(410) 841-3054","(410) 841-3385","dan.morhaim@house.state.md.us","http://msa.maryland.gov/msa/mdmanual/06hse/html/hse.html#organ","Vacant","","","","","","","","","","","","","","","","","","","","","","","","","",""
1168,"SH","State House","House Chief Deputy Minority Whip",12,"Maryland",29,"Room 309 Lowe House Office Building","6 Bladen Street","Annapolis","MD","21401","(410) 841-3404","(410) 841-3484","jason.buckel@house.state.md.us","http://msa.maryland.gov/msa/mdmanual/06hse/html/hse.html#organ","Buckel","Jason","C.","","","","","","","","","","","","","","","","","","","","","","","",""
1183,"SS","State Senate","Senate Assistant Majority Leader",14,"Michigan",6,"","7100 Capitol View Building","Lansing","MI","48909-7536","(517) 373-1635","(517) 373-3300","SenGHansen@senate.michigan.gov","http://www.senate.michigan.gov/SenatorInfo/leadership.html","Hansen","Goeff","","","","","","","","","","","","","","","","","","","","","","","","",""
1198,"SH","State House","House Minority Whip",42,"South Dakota",12,"Room 384 State Capitol","501 East Capitol Avenue","Pierre","SD","57501-5070","(605) 773-3851","","Karen.Soli@sdlegislature.gov","http://sdlegislature.gov/docs/legsession/2018/HouseDirectory.pdf","Soli","Karen","L.","","","","","","","","","","","","","","","","","","","","","","","",""
1214,"SH","State House","House Assistant Majority Leader",42,"South Dakota",4,"Room 370 State Capitol","501 East Capitol Avenue","Pierre","SD","57501-5070","(605) 773-3851","","Kent.Peterson@sdlegislature.gov","http://sdlegislature.gov/docs/legsession/2018/HouseDirectory.pdf","Peterson","Kent","S.","","","","","","","","","","","","","","","","","","","","","","","",""
1293,"SS","State Senate","Secretary of the Senate",11,"Maine",6,"3rd Floor, Room 327 3 State House Station","","Augusta","ME","04333","(207) 287-1540","(207) 287-1900","","http://legisweb1.mainelegislature.org/wp/senate/senate-offices/office-of-the-secretary-of-the-senate/","Priest","Heather","J. R.","","","","","","","","","","","","","","","","","","","","","","","",""
1307,"SH","State House","House Minority Leader",16,"Alabama",4,"Room 517-F Alabama State House","11 South Union Street","Montgomery","AL","36130-2950","(334) 242-7690","(334) 242-4015","craig.ford@alhouse.org","http://www.legislature.state.al.us/house/representatives/housebios/hd028.html","Ford","Craig","","","","","","","","","","","","","","","","","","","","","","","","",""
1332,"SH","State House","House Majority Assistant Whip",48,"Washington",13,"Room 335 Modular Building F","","Olympia","WA","98504","(360) 786-7848","","Joan.McBride@leg.wa.gov","http://housedemocrats.wa.gov/legislators/Joan-McBride/","McBride","Joan","","","","","","","","","","","","","","","","","","","","","","","","",""
1356,"SH","State House","House Assistant Minority Leader",22,"Connecticut",62,"Room 4200 Legislative Office Building","300 Capitol Avenue","Hartford","CT","06106-1591","(860) 240-8700","","Gail.Lavielle@housegop.ct.gov","http://www.cthousegop.com/lavielle/main","Lavielle","Gail","","","","","","","","","","","","","","","","","","","","","","","","",""
1368,"SH","State House","House Assistant Minority Leader",5,"Illinois",21,"Room 632 Stratton Office Building","401 South Spring Street","Springfield","IL","62706","(217) 782-2087","(217) 557-0571","","http://www.ilga.gov/house/100th_House_Officers.pdf","Reis","David","B.","","","","","","","","","","","","","","","","","","","","","","","",""
1401,"SH","State House","Deputy Speaker of the House",30,"New Hampshire",2,"State House","107 North Main Street","Concord","NH","03301","(603) 432-3391","","sherman.packard@leg.state.nh.us","http://www.gencourt.state.nh.us/house/abouthouse/leadership.htm","Packard","Sherman","A.","","","","","","","","","","","","","","","","","","","","","","","",""
