"COMID","COMCODE","COMTYPE","TYPEDESCR","COMNAME","COMLEVEL","PARENTNAME","PARENTCOMCODE","COMSTATE","STATENAME","STREET1","STREET2","CITY","STATE","ZIP","PHONE","FAX","EMAIL","URL","CHAIRLNAME","CHAIRFNAME","CHAIRMNAME","CHAIROCODE","CHAIRDESC","RMMLNAME","RMMFNAME","RMMMNAME","RMMOCODE","RMMDESC","SD1LNAME","SD1FNAME","SD1MNAME","SD1TITLE","SD1MAJMIN","SD1PHONE","SD1EMAIL","GC1LNAME","GC1FNAME","GC1MNAME","GC1TITLE","GC1MAJMIN","GC1PHONE","GC1EMAIL","PS1LNAME","PS1FNAME","PS1MNAME","PS1TITLE","PS1MAJMIN","PS1PHONE","PS1EMAIL","PM1LNAME","PM1FNAME","PM1MNAME","PM1TITLE","PM1MAJMIN","PM1PHONE","PM1EMAIL","CK1LNAME","CK1FNAME","CK1MNAME","CK1TITLE","CK1MAJMIN","CK1PHONE","CK1EMAIL","SD2LNAME","SD2FNAME","SD2MNAME","SD2TITLE","SD2MAJMIN","SD2PHONE","SD2EMAIL","GC2LNAME","GC2FNAME","GC2MNAME","GC2TITLE","GC2MAJMIN","GC2PHONE","GC2EMAIL","PS2LNAME","PS2FNAME","PS2MNAME","PS2TITLE","PS2MAJMIN","PS2PHONE","PS2EMAIL","PM2LNAME","PM2FNAME","PM2MNAME","PM2TITLE","PM2MAJMIN","PM2PHONE","PM2EMAIL","CK2LNAME","CK2FNAME","CK2MNAME","CK2TITLE","CK2MAJMIN","CK2PHONE","CK2EMAIL"
14680,"HTRA20","FH","Federal House","House Subcommittee on Highways and Transit","Subcommittee","House Committee on Transportation and Infrastructure","HTRA",,"","Room 2251 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6261","(202) 225-6715","(202) 225-4627","","http://transportation.house.gov/subcommittees/subcommittee/?ID=107420","Graves","Sam","B.","CHM","Chairman","Norton","Eleanor","Holmes","RMM","Ranking Minority Member","Barrett","Murphie","","Staff Director","MAJ","(202) 225-6715","murphie.barrett@mail.house.gov","","","","","","","","","","","","","","","Etchen","Alex","J.","Professional Staff Member","MAJ","(202) 225-6715","alex.etchen@mail.house.gov","","","","","","","","Zyblikewycz","Helena","M.","Staff Director","MIN","(202) 225-9989","helena.zyblikewycz@mail.house.gov","","","","","","","","","","","","","","","Mahar-Piersma","Auke","","Professional Staff Member","MIN","(202) 225-9989","auke.mahar-piersma@mail.house.gov","","","","","","",""
14700,"SCOM30","FS","Federal Senate","Senate Subcommittee on Surface Transportation and Merchant Marine Infrastructure, Safety, and Security","Subcommittee","Senate Committee on Commerce, Science, and Transportation","SCOM",,"","Room 512 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510-6125","(202) 224-8172","(202) 228-0303","","http://www.commerce.senate.gov/public/index.cfm?p=SurfaceTransportationandMerchantMarineInfrastructureSafetyandSecurity","Fischer","Deb","","CHM","Chairman","Peters","Gary","C.","RMM","Ranking Minority Member","","","","","","","","Gibbons","Fern","","Counsel; Policy Director","MAJ","(202) 224-8172","fern_gibbons@commerce.senate.gov","","","","","","","","Fuchs","Patrick","","Senior Professional Staff Member","MAJ","(202) 224-8172","patrick_fuchs@commerce.senate.gov","","","","","","","","","","","","","","","Barnhart","Devon","","Counsel","MIN","(202) 224-0411","devon_barnhart@commerce.senate.gov","","","","","","","","Wildgoose","Laurence","S.S.","Professional Staff Member","MIN","(202) 224-9000","Laurence_Wildgoose@commerce.senate.gov","","","","","","",""
14712,"SFOR","FS","Federal Senate","Senate Committee on Foreign Relations","Committee","","",,"","Room 423 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510-6225","(202) 224-4651","(202) 224-0836","Web_Inquiry@foreign.senate.gov","http://www.foreign.senate.gov/","Corker","Bob","P.","CHM","Chairman","Menendez","Robert","","RMM","Ranking Minority Member","Tuttle","Christopher","","Staff Director","MAJ","(202) 224-4651","chris_tuttle@corker.senate.gov","","","","","","","","Harper","Chuck","","Press Secretary","MAJ","(202) 224-4651","chuck_harper@foreign.senate.gov","Hicks","Trey","","Professional Staff Member","MAJ","(202) 224-4651","trey_hicks@foreign.senate.gov","","","","","","","","Taylor","Margaret","","Deputy Staff Director; Deputy Chief Counsel","MIN","(202) 224-4651","margaret_taylor@foreign.senate.gov","Ryan","John","L.","Deputy Chief Counsel","MIN","(202) 224-4651","john_ryan@foreign.senate.gov","Pachon","Juan","","Communications Director","MIN","(202) 224-4651","juan_pachon@foreign.senate.gov","Schwartz","Lowell","","Senior Professional Staff Member","MIN","(202) 224-4651","lowell_schwartz@foreign.senate.gov","","","","","","",""
14731,"SAPP35","FS","Federal Senate","Senate Subcommittee on Department of the Interior, Environment, and Related Agencies","Subcommittee","Senate Committee on Appropriations","SAPP",,"","Room 131 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510","(202) 228-0774","(202) 228-0904","","http://www.appropriations.senate.gov/subcommittees/interior-environment-and-related-agencies","Murkowski","Lisa","A.","CHM","Chairman","Udall","Tom","S.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","Lesofski","Emy","","Professional Staff Member","MAJ","(202) 228-0774","emy_lesofski@appro.senate.gov","Fonnesbeck","Leif","","Clerk","MAJ","(202) 228-0774","Leif_Fonnesbeck@appro.senate.gov","","","","","","","","","","","","","","","","","","","","","","Hunt","Ryan","","Professional Staff Member","MIN","(202) 228-0774","Ryan_Hunt@appro.senate.gov","Taylor","Rachael","","Clerk","MIN","(202) 228-0774","rachael_taylor@appro.senate.gov"
14767,"SAGR","FS","Federal Senate","Senate Committee on Agriculture, Nutrition, and Forestry","Committee","","",,"","Room 328A RSOB- Russell Senate Office Building","2 Constitution Avenue, NE","Washington","DC","20510-6000","(202) 224-2035","(202) 228-2125","","http://www.agriculture.senate.gov/","Roberts","Pat","","CHM","Chairman","Stabenow","Debbie","A.","RMM","Ranking Minority Member","Glueck","James","","Staff Director","MAJ","(202) 224-2035","james_glueck@ag.senate.gov","Murray","DaNita","M.","Chief Counsel","MAJ","(202) 224-2035","DaNita_Murray@ag.senate.gov","Little","Sarah","","Communications Director","MAJ","(202) 224-4774","sarah_little@roberts.senate.gov","Vlasaty","Andrew","","Senior Conservation, Environment, and Forestry Professional Staff Member","MAJ","(202) 224-2035","Andrew_Vlasaty@ag.senate.gov","","","","","","","","Schneider","Jacqlyn","","Deputy Staff Director; Policy Director","MIN","(202) 224-2035","Jacqlyn_Schneider@ag.senate.gov","Schultz","Mary Beth","","Chief Counsel","MIN","(202) 224-2035","marybeth_schultz@ag.senate.gov","McCarron","Jessica","","Press Secretary","MIN","(202) 224-2035","jess_mccarron@ag.senate.gov","Naessens","Kathryn","S.","Professional Staff Member","MIN","(202) 224-2035","Katie_Naessens@ag.senate.gov","","","","","","",""
18284,"HHLS","FH","Federal House","House Committee on Homeland Security","Committee","","",,"","Room H2-176 FHOB- Ford House Office Building","441 Second Street, SW","Washington","DC","20515-6480","(202) 226-8417","(202) 226-3399","homeland.security@mail.house.gov","http://homeland.house.gov/","McCaul","Michael","T.","CHM","Chairman","Thompson","Bennie","G.","RMM","Ranking Minority Member","Fullerton","Laura","F.","Deputy Staff Director","MAJ","(202) 226-8417","laura.fullerton@mail.house.gov","Flynn","Kathleen","M.","Deputy General Counsel","MAJ","(202) 226-8417","katy.flynn@mail.house.gov","Glancey","Tess","","Deputy Communications Director","MAJ","(202) 226-8417","tess.glancey@mail.house.gov","Bonvechio","Katherine","L.","Senior Professional Staff Member","MAJ","(202) 226-8417","kate.bonvechio@mail.house.gov","Lasuzzo","Blake","","Chief Clerk","MAJ","(202) 226-8417","blake.lasuzzo@mail.house.gov","Goins","Hope","E.","Staff Director","MIN","(202) 226-2616","hope.goins@mail.house.gov","Cohen","Rosaline","","Chief Legislation Counsel","MIN","(202) 226-2616","rosaline.cohen@mail.house.gov","Comis","Adam","","Communications Director","MIN","(202) 226-2616","adam.comis@mail.house.gov","","","","","","","","","","","","","",""
24813,"HARM05","FH","Federal House","House Subcommittee on Emerging Threats and Capabilities","Subcommittee","House Committee on Armed Services","HARM",,"","Room 2216 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515","(202) 225-4151","(202) 225-0858","","http://armedservices.house.gov/subcommittees/emerging-threats-and-capabilities-115th-congress","Stefanik","Elise","M.","CHM","Chairman","Langevin","Jim","R.","RMM","Ranking Minority Member","Villano","Peter","","Staff Director","MAJ","(202) 225-4151","peter.villano@mail.house.gov","","","","","","","","","","","","","","","Sutton","Katie","","Professional Staff Member","MAJ","(202) 225-4151","katie.sutton@mail.house.gov","","","","","","","","Kavanaugh","Lindsay","D.","Staff Director","MIN","(202) 225-4151","lindsay.kavanaugh@mail.house.gov","","","","","","","","","","","","","","","Jackson","Jamie","Lee","Professional Staff Member","MIN","(202) 225-4151","jamie.jackson@mail.house.gov","","","","","","",""
23128,"HSST10","FH","Federal House","House Subcommittee on Environment","Subcommittee","House Committee on Science, Space, and Technology","HSST",,"","Room 2321 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6305","(202) 225-6371","(202) 226-0113","","http://science.house.gov/subcommittees/subcommittee-environment-115th-congress","Biggs","Andy","","CHM","Chairman","Bonamici","Suzanne","M.","RMM","Ranking Minority Member","Brazauskas","Joseph","A.","Staff Director","MAJ","(202) 225-6371","joseph.brazauskas@mail.house.gov","Traynham","Benjamin","","Counsel","MAJ","(202) 225-6371","ben.traynham@mail.house.gov","","","","","","","","Rankin","Duncan","","Professional Staff Member","MAJ","(202) 225-6371","duncan.rankin@mail.house.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Weerasinghe","Pamitha","D.","Professional Staff Member","MIN","(202) 225-6375","pamitha.weerasinghe@mail.house.gov","","","","","","",""
23130,"HSST25","FH","Federal House","House Subcommittee on Space","Subcommittee","House Committee on Science, Space, and Technology","HSST",,"","Room 2321 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6305","(202) 225-6371","(202) 226-0113","","http://science.house.gov/subcommittees/subcommittee-space-115th-congress","Babin","Brian","","CHM","Chairman","Bera","Ami","","RMM","Ranking Minority Member","","","","","","","","Mineiro","Michael","","Senior Counsel","MAJ","(202) 225-6371","michael.mineiro@mail.house.gov","","","","","","","","Faith","Ryan","","Professional Staff Member","MAJ","(202) 225-6371","ryan.faith@mail.house.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Li","Allen","","Senior Professional Staff Member","MIN","(202) 225-6375","allen.li@mail.house.gov","","","","","","",""
23132,"HSST15","FH","Federal House","House Subcommittee on Oversight","Subcommittee","House Committee on Science, Space, and Technology","HSST",,"","Room 2321 RHOB- Rayburn House Office Building","50 Independence Avenue, SW","Washington","DC","20515-6305","(202) 225-6371","(202) 226-0113","","http://science.house.gov/subcommittees/subcommittee-oversight-115th-congress","Abraham","Ralph","L.","CHM","Chairman","Beyer","Don","S.","RMM","Ranking Minority Member","Hurt Callen","Ashley","","Staff Director","MAJ","(202) 225-6371","ashley.callen@mail.house.gov","Connally","Thomas","Parker","Counsel","MAJ","(202) 225-6371","thomas.connally@mail.house.gov","","","","","","","","Voyles","Travis","","Professional Staff Member","MAJ","(202) 225-6371","travis.voyles@mail.house.gov","","","","","","","","Pasternak","Douglas","S.","Staff Director","MIN","(202) 225-6375","doug.pasternak@mail.house.gov","","","","","","","","","","","","","","","Johnson","Stanton","","Professional Staff Member","MIN","(202) 225-6375","stanton.johnson@mail.house.gov","","","","","","",""
23133,"HJUD20","FH","Federal House","House Subcommittee on Immigration and Border Security","Subcommittee","House Committee on the Judiciary","HJUD",,"","Room 6320 Thomas P. O'Neill Federal Building","200 C Street, SW","Washington","DC","20024","(202) 225-3926","(202) 225-3737","","http://judiciary.house.gov/index.cfm/subcommittee-on-immigration-and-border-security","Labrador","Raul","R.","CHM","Chairman","Lofgren","Zoe","","RMM","Ranking Minority Member","","","","","","","","Fishman","George","M.","Chief Counsel","MAJ","(202) 225-3926","george.fishman@mail.house.gov","","","","","","","","","","","","","","","Hancock","Sabrina","","Clerk","MAJ","(202) 225-3926","sabrina.hancock@mail.house.gov","","","","","","","","Sthanki","Maunica","","Counsel","MIN","(202) 225-6906","maunica.sthanki@mail.house.gov","","","","","","","","","","","","","","","","","","","","",""
23134,"HFOR05","FH","Federal House","House Subcommittee on Africa, Global Health, Global Human Rights, and International Organizations","Subcommittee","House Committee on Foreign Affairs","HFOR",,"","Room 5210 Thomas P. O'Neill Federal Building","200 C Street, SW","Washington","DC","20024","(202) 226-7812","(202) 225-7491","","http://foreignaffairs.house.gov/subcommittee/africa-global-health-global-human-rights-and-international-organizations/","Smith","Chris","H.","CHM","Chairman","Bass","Karen","R.","RMM","Ranking Minority Member","Tozzi","Piero","A.","Staff Director","MAJ","(202) 226-7812","piero.tozzi@mail.house.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Yarwood","Janette","","Staff Director","MIN","(202) 226-8467","janette.yarwood@mail.house.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
14745,"SBUD","FS","Federal Senate","Senate Committee on Budget","Committee","","",,"","Room 624 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510","(202) 224-0642","(202) 224-4835","","http://www.budget.senate.gov/","Enzi","Mike","B.","CHM","Chairman","Sanders","Bernie","","RMM","Ranking Minority Member","Giroux","Matthew","","Deputy Staff Director","MAJ","(202) 224-0642","Matthew_Giroux@budget.senate.gov","Fuller","Thomas","","Assistant Counsel","MAJ","(202) 224-0642","thomas_fuller@budget.senate.gov","Brenckle","Joseph","","Communications Director","MAJ","(202) 224-0642","joe_brenckle@budget.senate.gov","D'Angelo","Gregory","","Professional Staff Member","MAJ","(202) 224-0642","gregory_dangelo@budget.senate.gov","","","","","","","","Jones","Mike","","Deputy Staff Director","MIN","(202) 224-0642","mike_jones@budget.senate.gov","Etter","Robert","L.","Chief Counsel","MIN","(202) 224-0642","robert_etter@budget.senate.gov","","","","","","","","","","","","","","","","","","","","",""
14746,"SAPP45","FS","Federal Senate","Senate Subcommittee on Legislative Branch","Subcommittee","Senate Committee on Appropriations","SAPP",,"","Room S-128 The Capitol","","Washington","DC","20510","(202) 224-9722","(202) 228-0904","","http://www.appropriations.senate.gov/subcommittees/legislative-branch","Daines","Steve","","CHM","Chairman","Murphy","Chris","S.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","Stevens","Courtney","","Professional Staff Member","MAJ","(202) 224-9722","courtney_stevens@appro.senate.gov","Boliek","Sarah","","Clerk","MAJ","(202) 224-9722","sarah_boliek@appro.senate.gov","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Zimmerman","Melissa","","Clerk","MIN","(202) 224-9722","melissa_zimmerman@appro.senate.gov"
14747,"SENE20","FS","Federal Senate","Senate Subcommittee on Water and Power","Subcommittee","Senate Committee on Energy and Natural Resources","SENE",,"","Room 304 DSOB- Dirksen Senate Office Building","100 Constitution Avenue, NE","Washington","DC","20510-6150","(202) 224-4971","(202) 224-7970","","http://www.energy.senate.gov/public/index.cfm/subcommittees?p=water-and-power","Flake","Jeff","L.","CHM","Chairman","Cortez Masto","Catherine","M.","RMM","Ranking Minority Member","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
