"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","BIOTYPE","SOURCE","BIODATE","DOCUMENT"

Heinrich is also a leader in protecting American constitutional liberties. He was an original cosponsor of the USA FREEDOM Act, a bill that was signed into law in June 2015 to end the National Security Agency's bulk collection of Americans' phone and other records, and to ensure more accountability and transparency with respect to government surveillance activities. As a member of the Senate Select Committee on Intelligence, Heinrich strongly supported the release of the committee's report on the CIA's detention and interrogation program and supports a series of reforms to prevent the future use of torture.

Serving on the Senate Armed Services Committee, Heinrich remains deeply committed to ensuring our men and women in uniform have the resources and support they need to keep our nation safe and to fulfill the promises we've made to those who serve. New Mexico is home to several military installations - Kirtland Air Force Base, Holloman Air Force Base, Cannon Air Force Base, Fort Bliss, and White Sands Missile Range - and two major national laboratories - Los Alamos National Laboratory and Sandia National Laboratories - and the Waste Isolation Pilot Plant. New Mexico plays a pivotal role in our national security, and Heinrich is a strong advocate for our personnel and missions.

Heinrich is a member of the Congressional Sportsmen's Caucus, Senate Climate Action Task Force, Senate Democratic Hispanic Task Force, National Service Congressional Caucus, and Congressional Dietary Supplement Caucus.

Prior to being elected to the U.S. Senate, Heinrich served two terms in the U.S. House of Representatives.

As a House member, he voted to cut taxes for the middle class, worked to make college more affordable,

improved benefits for veterans, opposed cuts to Social Security and Medicare, and championed the

DREAM Act as an original cosponsor. Heinrich authored the HEARTH Act to remove barriers to homeownership for Native families and led the effort in Congress to reauthorize the Indian Health Care Improvement Act. Heinrich also fought to secure language in the National Defense Authorization Act of 2010 that prohibited the retirement of the 150th Fighter Wing from Kirtland Air Force Base, which helped preserve 1,000 jobs.

Before he was elected to Congress, Heinrich served four years as an Albuquerque City Councilor and was elected by his peers as City Council President. During his time on City Council, Heinrich championed successful efforts to raise the city minimum wage, crack down on crime, support small local businesses, make Albuquerque a leader in energy and water conservation, and fought for campaign finance reform. He also served as New Mexico's Natural Resources Trustee, working to restore the state's natural environment and the services these resources provide.

After completing a Bachelor of Science degree in Mechanical Engineering at the University of Missouri, he and his wife, Julie, moved to Albuquerque where he began his career as a contractor at Phillips Laboratories, which is now Air Force Research Labs. Heinrich later served in AmeriCorps for the U.S. Fish and Wildlife Service, and was the Executive Director of the Cottonwood Gulch Foundation. He also led the Coalition for New Mexico Wilderness and founded a small public affairs consulting firm."

22253,252293,"FL","S","NV","S02","","Catherine","Cortez Masto","M.","Sen.","","US Senator","Narrative Bio","",2017-05-11 00:00:00,"Before being elected to the U.S. Senate, Senator Catherine Cortez Masto spent her career fighting to protect Nevada families. Cortez Masto served two terms as Nevada's Attorney General, where she fought to combat drug crime, protect seniors, take on the big banks, and worked to strengthen laws preventing sex trafficking and violence against women. Prior to her service as Attorney General, Cortez Masto worked as an Assistant County Manager for Clark County. She also served as a federal criminal prosecutor for the U.S. Attorney's Office in Washington, D.C. and was Chief of Staff to Governor Bob Miller. Cortez Masto currently resides in Las Vegas, Nevada with her husband, Paul. 

In the 115th Congress, Cortez Masto is a member of six U.S. Senate Committees that will enable her to be a strong advocate for Nevadans- The Committee on Banking, Housing, and Urban Affairs; the Committee on Energy and Natural Resources; the Committee on Commerce, Science, and Transportation; the Committee on Rules and Administration; the Committee on Indian Affairs; and the Special Committee on Aging."

22256,165260,"FL","S","NY","S01","","Charles","Schumer","E.","Sen.","","US Senator","Narrative Bio","",2018-01-25 00:00:00,"U.S. Senator Charles Ellis ""Chuck"" Schumer has dedicated his career to being a tireless fighter for New York. He visits all 62 counties every year and has delivered countless large and small victories across the state, including delivering $20 billion to rebuild after the 9-11 terror attacks and passing a $63 billion relief package to help New York recover from Superstorm Sandy. From massive snowstorms in Western New York to numerous floods across Upstate, Sen. Schumer has been there to deliver aid and support to New Yorkers in their time of need. 

From authoring a permanent tax credit to offset the rising costs of college tuition, protecting Social Security and Medicare to encouraging job-creating infrastructure projects, Senator Schumer has made it a hallmark of his career to protect the middle class and those working to reach it - including finding common sense solutions to national issues. 

Chuck was born and raised in Brooklyn, NY, where his dad owned a small exterminating business and his mom was a housewife. He attended public school and graduated from James Madison High School before heading to Harvard University, and then Harvard Law School. Chuck has two daughters, Jessica and Alison, and he still resides in Brooklyn with his wife, Iris Weinshall.

After graduating from Harvard Law School in 1974, Chuck was elected to the New York State Assembly, where he soon made his mark with his trademark vigor and relentless advocacy. In 1980, at 29, Chuck was elected as a congressman from the 9th Congressional District.

Chuck represented the 9th CD in Brooklyn and Queens for eighteen years, where he established his reputation as a consumer advocate and a pioneer in the fight against crime during the days of sky-high crime and murder rates that plagued communities throughout America. He was the leading sponsor of the Violence Against Women Act, which combats domestic violence and sexual assault, and the Brady Bill, which instituted mandatory background checks for handgun purchases. He championed the Hate Crimes Prevention Act, which organized data on crimes of bigotry and allowed federal authorities to prosecute these crimes. He also sponsored legislation that required banks and credit card companies to provide greater disclosure to consumers.

In 1998, Chuck was elected to the U.S. Senate; he became New York's senior senator when Senator Daniel Patrick Moynihan retired in 2000. Chuck kicked off his first Senate term by announcing he would visit each of New York's 62 counties every year, a tradition he continues today to keep in touch with voters from every corner of the state.

Throughout his time in the Senate, Chuck has made improving New York's economy his top priority, bringing affordable air service, like JetBlue, to Upstate New York. He has worked to successfully retain New York jobs that were at risk of leaving and to attract many new firms to New York to create many thousands of family-supporting new jobs. Chuck was the author of legislation that eliminated barriers that delay low-cost generic medications from entering the marketplace and led the charge to make college tuition tax deductible. He also aggressively championed agricultural measures to preserve vital market support programs for New York's dairy farmers and crop growers. In 2013, Chuck worked across the aisle to pass a comprehensive immigration reform package, the Border Security, Economic Opportunity, and Immigration Modernization Act, which passed the Senate with overwhelming bipartisan support.

After New Yorkers re-elected him in 2004, Chuck secured two powerful posts- a seat on the Senate Finance Committee, which oversees the nation's tax, trade, social security and healthcare legislation, and the Chairmanship of the Democratic Senatorial Campaign Committee (DSCC). Chuck successfully led the DSCC for two consecutive cycles and greatly expanded the number of seats in his conference.

Following the elections of 2006, then-Majority Leader Harry Reid (D-NV) appointed Chuck to serve as Vice Chair of the Democratic Conference, the number three position on the Democratic Leadership team. In 2016, Chuck was once again re-elected by the people of New York and at the same time, his colleagues elected him to serve as Leader of the Democratic Caucus, the first time a New York Senator has held the position. "

22257,159013,"FL","S","OH","S01","","Sherrod","Brown","C.","Sen.","","US Senator","Narrative Bio","",2017-05-11 00:00:00,"Since January of 2007, U.S. Senator Sherrod Brown - a champion of middle-class families in the Senate - has held more than 300 community roundtables across Ohio's 88 counties with students, local leaders and business owners, entrepreneurs and educators, workers and families to find ways to rebuild our economy.

Described as ""Congress' leading proponent of American manufacturing"" Brown is working with the Obama Administration on the creation of a national manufacturing policy that would invest in manufacturing innovation, strengthen our component supply chain, connect workers with emerging industries, and align our trade policies to promote our national interests.

He is also working with Ohio's universities, entrepreneurs, and community stakeholders to use Ohio's resources to create new jobs in high-growth industries and make Ohio a national leader in clean energy manufacturing.

And as a long-time advocate for fair trade, Senator Brown has stood up to presidents of both parties on shortsighted trade agreements that ship U.S. jobs overseas. He led the bipartisan opposition to NAFTA in 1993 - as a freshman in the U.S. House of Representatives - and to CAFTA in 2005. Sen. Brown is working on trade policies that promote our workers, small businesses, and manufacturers while creating jobs and expanding markets through an aggressive export promotion strategy.

Informed by his faith as a member of the Evangelical Lutheran Church in America (ELCA), Sherrod Brown is committed to social and economic justice. He helped pass the historic health care law that will make health insurance more affordable and accessible for American families. This law also provides strong consumer protections that will prevent insurers from placing limits on the care patients receive and discriminating against consumers based on age or pre-existing health conditions.

He has also joined with officials and community partners in cities across Ohio to rise to the White House's My Brother's Keeper Challenge to expand opportunities for boys and young men of color. Through mentoring relationships and education events, this initiative strives to ensure that all of our young people receive a quality high school education and graduate with the skills and tools needed to advance to postsecondary education or training.

For the last several years, Senator Brown has also convened a one-of-its-kind Ohio College Presidents Conference in Washington to discuss ways to leverage federal resources to promote higher education and job training in Ohio.

Senator Brown serves as the Ranking Member of the Senate Banking Committee, where he played an instrumental role in passing the historic Wall Street reform law. He also serves on the Senate Committee on Finance.

Brown is also the first Ohio Senator in 40 years to serve on the Senate Agriculture, Nutrition, and Forestry Committee, where he has been instrumental in strengthening the farm safety net and addressing childhood hunger.  He served Chairman of the Subcommittee on Jobs, Rural Economic Growth and Energy Innovation.

Senator Brown has fought for our veterans, servicemembers, and their families throughout his career. He secured $15 million to build the Ohio Western Reserve Cemetery for veterans, in Medina County. From his position on the Senate Veterans Affairs Committee, Brown has advocated for veterans training programs to ensure returning servicemembers have access to good-paying, high-demand jobs. He is the only Ohio Senator ever to serve a full Senate term on the Veterans Affairs Committee.

Prior to serving in the United States Senate, Brown served as a United States Representative for the 13th District, Ohio's Secretary of State, a member of the Ohio General Assembly, and has taught in Ohio's public schools and at The Ohio State University. An Eagle Scout, Brown is a native of Mansfield, Ohio, where he spent summers working on his family's farm.  He is married to Pulitzer Prize-winning columnist Connie Schultz. They reside in Cleveland, Ohio, and have three daughters, a son, a daughter-in-law, three sons-in-law, and five grandchildren."

22258,159002,"FL","S","OH","S02","","Rob","Portman","J.","Sen.","","US Senator","Narrative Bio","",2018-01-24 00:00:00,"Rob Portman is a United States Senator from the state of Ohio. He was first elected in 2010, running a campaign that focused on commonsense conservative ideas to help create jobs and get the deficit under control. Rob won with a margin of 57 to 39 percent, winning 82 of Ohio's 88 counties.

Rob was born and raised in Cincinnati, where he still lives today with his wife Jane. Together they have three children- Jed, Will, and Sally. Rob grew up in a small business family, where he learned early on the value of hard work, leadership, and fiscal responsibility. His father, and then his brother, built the family business from a small forklift truck dealership with five employees, to one that employed more than 300 people. Rob became a lawyer and developed his own private practice, representing Portman Equipment Company and other small businesses.

In 1993, Rob was elected to Congress, where he represented the diverse, seven county Second District in southern Ohio. He was proud to serve the Second District for 12 years, and in seven elections, he never received less than 70 percent of the vote.

In September 1996, Rob founded the Coalition for a Drug-Free Greater Cincinnati, now known as PreventionFIRST!, to help keep young people from substance abuse.  He authored the Drug Free Communities Act, which has provided more than $1 billion to community coalitions around the country over the last 20 years.

Rob was actively involved in crafting and promoting the historic welfare reform efforts as a member of the committee that wrote the legislation, and he was a forceful advocate of the balanced budget that passed in 1997. Rob authored several federal laws to increase retirement savings, reform the IRS and add more than 50 new taxpayer rights, curb unfunded mandates, reduce taxes, and expand land conservation efforts.

In 2005, Rob left Congress when he was asked to serve as the United States Trade Representative, the Cabinet-level official responsible for implementing and enforcing U.S. trade policy. As America's Trade Representative, Rob was successful in reducing barriers to U.S. exports and increasing enforcement of trade laws to help level the playing field for American farmers, workers, and service providers. Under his leadership, American exports increased and the U.S. brought successful legal challenges against international trade law violations-including against China.

Following his accomplishments as Trade Representative, Rob was asked to serve in another Cabinet post, this time as Director of the Office of Management and Budget. Rob made his mark by proposing a balanced budget, fighting irresponsible earmarks, and putting in place new transparency measures for all federal spending.

During his first term in the U.S. Senate, Rob successfully introduced more than 180 bills, including 150 bipartisan bills, and 50 bills that were signed into law by President Obama. He authored the Senate Republican Jobs Plan, a seven-point agenda for creating jobs in Ohio and around the country through commonsense policies like tax reform, regulatory reform, and skills training. He has been a champion for underprivileged children, an advocate for policies that reduce poverty and increase opportunity, and a leader on expanding exports and American energy production.

Rob is the author of the Federal Permitting Act, federal law that streamlined and sped up the federal permitting process, which modernizes government and creates more jobs.

As co-Chairman of the bipartisan Senate Career and Technical Education Caucus, Rob has authored the CAREER Act, federal law that helps Ohioans train for and find the jobs that are available today.

As a Senator, Rob has also continued to fight for to expand exports and crack down on unfair and illegal imports. He co-authored the bipartisan Leveling the Playing Field Act, which was signed into law by President Obama and gives the federal government better tools to fight unfair imports. He also authored the ENFORCE Act, which President Obama signed into law and helps the federal government crack down on countries like China that try to evade our trade laws. Rob also been a staunch advocate for Ohio jobs in dozens of cases at the International Trade Commission. He has supported cases involving solar products in Toledo, agriculture products like wheat grown throughout the state, specialty paper in Dayton, rebar in Cincinnati and Marion, hot-rolled steel in Cleveland, high-density pipe in Columbus, roller bearings in Canton, and others.

Rob has continued the work he began in the House of Representatives on drug abuse prevention and treatment, authoring the Comprehensive Addiction and Recovery Act, which was signed into law in July 2016 and authorizes $181 million annually to increase prevention and education, expand drug treatment, and promote community support services for those in recovery.

Rob co-founded and co-chairs the bipartisan Senate Caucus to End Human Trafficking. He is the author of five federal anti-trafficking laws signed by President Obama.  He has also led a bipartisan investigation into Backpage.com, which culminated in a bipartisan report which exposed that the company knowingly facilitates criminal sex trafficking of vulnerable women and young girls and has covered up evidence of these crimes in order to increase its own profits. 

Rob is also a leader in the U.S. Senate in the effort to preserve our environment. He authored several federal laws to protect Lake Erie from harmful algal blooms through scientific research prioritizing bodies of fresh water, and to stop the use of microbeads, which pollute Lake Erie and harm fish and other wildlife.

He is also the author of the National Park Service Centennial Act, which President Obama signed into law in December of 2016. This law ensures that the National Park Service has the resources necessary to reduce its maintenance backlog and continue keeping America beautiful."

22259,284972,"FL","S","OK","S02","","James","Lankford","P.","Sen.","","US Senator","Narrative Bio","",2018-01-23 00:00:00,"After serving four years in the U.S. House of Representatives, James was elected to the U.S. Senate to complete an unexpired term on November 4, 2014 and re-elected to a full six-year senate term on November 8, 2016. 

As chairman of the Senate Subcommittee on Regulatory Affairs and Federal Management, Lankford fights unnecessary and burdensome regulation and advocates for a more restrained federal government.

Personal faith, local decision-making, and opportunity for every person, regardless of their background, are core values for Senator Lankford. Before his time in Congress, from 1995 to 2009, James served as Director of Student Ministry at the Baptist Convention of Oklahoma and Director of the Falls Creek Youth Camp, the largest youth camp in the United States, with more than 51,000 individuals attending each summer.

James lives in Edmond with his wife Cindy. They have been married for 25 years and have two daughters- Hannah and Jordan. He enjoys spending time with his family, sport shooting, and reading."

22260,165264,"FL","S","OK","S01","","James","Inhofe","M.","Sen.","","US Senator","Narrative Bio","",2017-05-11 00:00:00,"U.S. Senator Jim Inhofe (R-Okla.) is a U.S. Army Veteran.  He is the senior member of the U.S. Senate Environment and Public Works Committee and senior member of the U.S. Senate Armed Services Committee. He also serves on the U.S. Senate Committee on Commerce Science, & Transportation and the U.S. Senate Committee on Small Business & Entrepreneurship. 

An avid pilot with over 11,000 flight hours, Inhofe became the only member of Congress to fly an airplane around the world when he recreated Wiley Post's legendary trip around the globe.

The conservative publication, Human Events, in editorializing on a recent ""Top 10 Most Outstanding Conservative Senators"" ranked Inhofe number one saying he is an ""unabashed conservative"" and noted that ""he's unafraid to speak his mind.""

In 2013, National Journal magazine ranked Inhofe among the top five most conservative members of the Senate.

Jim has been married to his wife, Kay, for 57 years. They have 20 kids and grandkids."

22261,165265,"FL","S","OR","S01","","Ron","Wyden","","Sen.","","US Senator","Narrative Bio","",2018-01-26 00:00:00,"Whether he's taking on powerful interests, listening to constituents at one of his famous town hall meetings or standing up for Oregonians on the floor of the U.S. Senate, Ron Wyden is an effective leader on the issues that matter most.  As the Wall Street Journal's Kimberly Strassel recently put it- ""He's best described as a wonk, a workhorse, a doer."" 

Oregonians know Ron as a senator who listens.  Always citing the need to ""throw open the doors of government for Oregonians"" he holds an open-to-all town hall meeting in each of Oregon's 36 counties each year.  Thus far he has held more than 700 meetings.  Wyden's dedication to hearing all sides of an issue and looking for common sense, non-partisan solutions has won him trust on both sides of the aisle and put him at the heart of nearly every debate.   In 2011, the Almanac of American Politics described Wyden as having ""displayed a genius for coming up with sensible-sounding ideas no one else had thought of and making the counter-intuitive political alliances that prove helpful in passing bills.""  The Washington Post's Ezra Klein wrote- ""The country has problems.  And Ron Wyden has comprehensive, bipartisan proposals for fixing them.""

Wyden believes the nation's biggest challenges can only be solved by what he calls ""principled bipartisanship"" solutions that allow all parties to stay true to their respective principles and celebrate agreements.  Following that approach has helped him author more than 150 bipartisan bills and assemble unprecedented bipartisan coalitions on issues such as health care, infrastructure and tax reform.

When principles are at stake, however, Wyden has never shied from standing alone, even when it means taking on powerful interest groups or his own party.  His lone stand against the PROTECT IP Act (PIPA) and its predecessor, the Combating Online Infringement and Counterfeit Act (COICA), put a spotlight on the problematic legislation being fast tracked through Congress and served as a rallying point for the historic Internet protests that ultimately toppled the bills.  He stood alone on the floor of the Senate to block right wing efforts to overturn Oregon's Death with Dignity law; a law that Oregon voters have passed twice. He went head-to-head with the E.P.A. to reduce cancer-causing benzene in gasoline sold in Oregon, and key elements of Wyden's Kinship Care Act were included as part of major reforms improving the nation's foster care system. Wyden's provisions recognized and strengthened support for kinship care, the full-time care and protection of children by relatives.

His relentless defiance of the national security community's abuse of secrecy forced the declassification of the CIA Inspector General's 9/11 report, shut down the controversial Total Information Awareness program and put a spotlight on both the Bush and Obama Administration's reliance on ""secret law.""  To protect hard-working folks in the intelligence community and ensure informed public debate on national security issues, Wyden successfully fought to have controversial anti-leaks provisions removed from the latest intelligence authorization bill.

Wyden has taken the lead on policies that are helping to grow the economy in areas like improved infrastructure through his Build America Bonds program, micro and nano-technology, e-commerce, and through incentives for cleaner sources of energy.

He has won countless awards for his pioneering role in establishing a free and open Internet, is known for his commitment to an open government, having authored the ""Stand By Your Ad"" law and the resolution ending Senate Secret Holds, and he has been routinely recognized as one of the Senate's foremost health policy thinkers.  

In Oregon, Wyden has authored laws extending permanent Wilderness protections to more than 400,000 acres including Mt. Hood, the Columbia River Gorge, Oregon's Bull Run Watershed, Badlands, Spring Basin, Copper Salmon and Soda Mountain.  Since 2000, the Wyden-authored Secure Rural Schools and Community Self Determination Act, commonly known as the ""county payments"" law, has helped provide a stable source of revenue for historically timber-dependent communities and Wyden's Combat Illegal Logging Act has helped protect Oregon's hardwood industries from the import of illegally harvested timber products.

Wyden serves on the Committees on Finance, Budget, Intelligence, and Energy and Natural Resources.  He is ranking member of the Senate Finance Committee and the ranking Democrat on the Energy and Natural Resources Committee.

Wyden began college at the University of California-Santa Barbara where he won a basketball scholarship and played in Division I competition for two seasons before transferring to Stanford University where he completed his Bachelors degree with distinction.  He earned his law degree from the University of Oregon School of Law in 1974, after which he taught gerontology and co-founded the Oregon chapter of the Gray Panthers, an advocacy group for the elderly.  He also served as the director of Oregon Legal Services for the Elderly from 1977 to 1979 and was a member of the Oregon State Board of Examiners of Nursing Home Administrators during that same period. He served in the U.S. House of Representatives from 1981 until his election to the U.S. Senate.

Senator Wyden's home is in Portland; he is married to Nancy Wyden, whom he wed in September 2005. He has five children- Adam, Lilly, Ava, William and Scarlett."

22262,198129,"FL","S","OR","S02","","Jeff","Merkley","A.","Sen.","","US Senator","Narrative Bio","",2018-01-23 00:00:00,"Jeff Merkley has dedicated himself to fighting for opportunity for Oregon's families. The son of a millwright, he grew up in a blue-collar neighborhood where - as Jeff says - his mother ""stretched a dollar as far as anyone possibly could."" Today, he still lives in that neighborhood and his kids have gone to the same public schools he attended.  Jeff has lived the American dream and has focused his whole career - both in elected office and running non-profits - on making sure that all Oregonians have the same opportunity to make a better life for themselves and their families.

Jeff's policy studies began at the dinner table. Each night his father read the newspaper, turned on the evening news, and discussed ways to improve our communities and our nation. The first in his family to attend college, Jeff studied international relations and, at age 19, began his career in public service as an intern for former Oregon Senator Mark Hatfield - never imagining that he would one day return to hold Senator Hatfield's seat.

Because Jeff saw first-hand at home and in his neighborhood that a good-paying job is more effective than any government program, Jeff's top priority in the Senate has been creating jobs and laying the foundation for economic growth that benefits working families, not just the stock market.  He successfully led passage of the Water Infrastructure Financing Innovation Act to help local communities replace aging sewer and drinking water systems and save ratepayers money.  He expanded Buy America programs so that taxpayer dollars are spent on American steel and other materials whenever possible, and wrote legislation to crack down on unfair and illegal trade practices that threaten Oregon jobs.

Jeff has been a leader in bringing accountability and oversight back to Wall Street. He authored one of the toughest amendments in the Wall Street reform bill to separate hedge-fund-like gambling from traditional banking that businesses and families rely on. And he's fought to keep families in their homes and end the predatory practices of the subprime mortgage crisis by writing the law that ended egregious mortgage lending practices and banned hidden steering payments, liar loans and prepayment penalties.

Jeff knows firsthand how important a strong public education system is to building strong families as well as a successful economy. He's worked to increase investment in Head Start and K-12 education, including sponsoring legislation to boost career and technical education and STEM (Science, Technology, Engineering and Math) teaching in public schools. He's been a fierce advocate to lower student loan rates and make college more affordable for middle class families, cosponsoring a bill to allow refinancing of student loans  and introducing innovative legislation based on Oregon's ""Pay It Forward"" concept that would allow more students to attend college debt-free.

Jeff believes that a secure retirement is a key pillar of the American dream, and has pushed back against both Democrats and Republicans to ensure we don't weaken Social Security and Medicare or cut the benefits that seniors have earned with a lifetime of hard work. He introduced the Fair Raises for Seniors Act to ensure that Social Security cost-of-living adjustments more accurately keep up with the expenses seniors face, and has been an outspoken supporter of the Medicare Protection Act to prevent efforts to weaken, privatize, or ""voucher-ize"" Medicare.

To make the Senate more effective in taking on special interests and working for the middle class, Jeff challenged his own leadership to support a historic reform of the chamber's rules to prevent gridlock and promote debate.  Thanks to Jeff's push, the Senate was finally able to put a cop on the beat to stop big banks from taking advantage of their customers and prevent the oil and gas industries from decapitating the agency charged with keeping our air and water clean.  Jeff is nationally recognized as a reformer working to break Congressional gridlock and reform the Senate so it will be more responsive to the needs of ordinary middle class families.

Jeff's work in the Senate is a continuation of a lifetime of working to make Oregon and the world a better place.  During his term as Speaker of the Oregon House of Representatives, Jeff led a legislative session The Oregonian deemed one of ""Oregon's most productive in a generation."" Under Jeff's leadership, the state legislature increased education funding, expanded access to affordable prescription drugs, established domestic partnerships and a landmark civil rights law to protect LGBT Oregonians from discrimination, cracked down on predatory lending, and created Oregon's first-ever rainy day fund.  Prior to running for office, Jeff ran several non-profits in Portland, including Portland Habitat for Humanity, which empowers low-income families through homeownership.

Jeff is a member of the Appropriations Committee; the Environment and Public Works Committee; the Budget Committee; and the Senate Foreign Relations Committee. He and his wife Mary Sorteberg, a nurse, have been married for more than twenty years and have two children, Brynne and Jonathan, and an Airedale terrier, Sadie."

22263,159045,"FL","S","PA","S02","","Pat","Toomey","J.","Sen.","","US Senator","Narrative Bio","",2018-01-26 00:00:00,"Senator Pat Toomey was elected to the U.S. Senate from Pennsylvania on a platform of limited government, economic and job growth, and restoring fiscal responsibility.

The Philadelphia Inquirer wrote that he has emerged as ""a leading voice on money matters.""

Since joining the Senate in 2011, he has distinguished himself as a leader on economic, financial services and budgetary issues, striving to restore fiscal discipline to Washington and economic opportunity for all Americans.

In 2012, Sen. Toomey helped write and enact the bipartisan JOBS Act, which cuts regulatory burdens on small and medium-sized businesses making it easier for them to raise capital and create jobs.

The senator serves on the Finance; Banking; and Budget committees. 

He previously served on the Joint Select Committee on Deficit Reduction.

Sen. Toomey previously served in Congress as a member of the House of Representatives from Pennsylvania's 15 Congressional District, where he championed economic growth and fiscal discipline. Honoring his pledge to limit himself to three terms, he did not seek re-election to the House in 2004.

In addition to his public service, the senator has also served as president of the Club for Growth, owned and operated a small restaurant chain in the Lehigh Valley, and worked in the financial services industry.

A graduate of Harvard University, he lives in Zionsville with his wife, Kris, and their three children."

22264,240529,"FL","S","PA","S01","","Robert","Casey","P.","Sen.","Jr.","US Senator","Narrative Bio","",2017-05-11 00:00:00,"Bob Casey believes that ""all public service is a trust, given in faith and accepted in honor."" Since he was elected to the United States Senate in 2006, he has worked to create family sustaining jobs and foster financial security for Pennsylvania families; protect our children and invest in their futures; ensure safety at home and respect for America abroad; promote honesty and accountability in government; preserve the dignity of the vulnerable of all ages among us; and advocate for his constituents and help them solve problems they face.

Senator Casey has established a record of results on behalf of the people of Pennsylvania. He was the prime Senate sponsor of landmark legislation for individuals with disabilities, the Stephen Beck Jr. Achieving a Better Life Experience Act (ABLE). ABLE will allow millions of families across the United States to save for the long term care of their loved ones with a disability in a tax-advantage savings account. The Associated Press hailed this legislation as ""the most important new law for [those with disabilities] in 25 years."" Senator Casey believes that people with disabilities have a lot of ability and we must give those with disabilities the tools to succeed in the workforce and to live a full life.

As concerns arose across the nation about the dangers of campus sexual assault, Senator Casey took action and passed into law the Campus Sexual Violence Elimination Act. The Campus SaVE Act requires uniform reporting standards for sexual assaults on college campuses and requires schools to provide clear guidelines to students on their sexual assault policies. The new law also emphasizes steps schools can take to educate students and help prevent sexual assault.

In eight years as Pennsylvania Auditor General and two years as State Treasurer, Bob Casey compiled a record that focused on making government more accountable and responsive to the needs of Pennsylvanians. He has been a fiscal watchdog who made nursing homes safer, child care more affordable and government more accountable. He led the fight to reform Megan's Law to better protect Pennsylvania children and communities.

Senator Casey serves on four Senate committees- Finance; Health, Education, Labor and Pensions; Agriculture, Nutrition, and Forestry; and the Special Committee on Aging. Born and raised in Scranton, Pennsylvania, Bob Casey graduated from The College of the Holy Cross in 1982 and spent the following year teaching fifth grade and coaching eighth grade basketball in inner city Philadelphia for the Jesuit Volunteer Corps. He received his law degree from Catholic University in 1988 and entered the practice of law in Scranton.

Casey and his wife, Terese, were married in 1985 and live in Scranton. They have four daughters- Elyse, Caroline, Julia and Marena."

22265,165269,"FL","S","RI","S01","","Jack","Reed","F.","Sen.","","US Senator","Narrative Bio","",2018-01-24 00:00:00,"Jack was born and raised in Cranston and grew up on Pontiac Avenue attending St. Matthew's Elementary School in Cranston and graduated from La Salle Academy in Providence.  He was nominated for an appointment to the United States Military Academy by U.S. Senator John O. Pastore.  On July 3, 1967, Reed reported to West Point to begin cadet training.  After graduating from the Military Academy in 1971 Reed earned a master's degree in public policy from Harvard's John F. Kennedy School of Government.  Reed also went on to earn a law degree from Harvard Law School in 1982.

One of the highest honors and greatest privileges of Jack's life was commanding his fellow soldiers.  He served in the 82nd Airborne Division as an Infantry Platoon Leader, a Company Commander, and a Battalion Staff Officer.  He eventually joined the faculty at West Point, teaching cadets about economics and international relations as an Associate Professor within the Department of Social Sciences.  He served as a professor at the U.S. Military Academy until August of 1979 when he resigned from active duty as a Captain.  

After graduating from law school, Jack became an attorney in private practice, first working as an associate with the law firm of Sutherland, Asbill, & Brennan before moving back to Providence and working for the firm of Edwards & Angell.  He specialized in banking and securities law.

Reed served three terms in the Rhode Island State Senate, where he focused on housing, children's welfare, and mental health issues.  The people of Rhode Island then elected him to serve three terms in the U.S. House of Representatives.  

In 1996, the people of Rhode Island elected Jack Reed to succeed Claiborne Pell as Rhode Island's 46th United States Senator.

A member of the powerful Appropriations Committee Senator Reed has been described by the Boston Globe as ""a relentless advocate for his home state.""  As Ranking Member of the Subcommittee on Transportation, Housing, and Urban Development, he works tirelessly to direct federal funding to the Ocean State to create jobs, strengthen its infrastructure, and support economic and community development initiatives. 

He has supported clean water projects to ensure both a healthy economy and a healthy environment.  And he authored a trio of laws to improve children's health care and ensure our youngest patients get the help they need when they need it- the Conquer Childhood Cancer Act, a law that expands research programs aimed at improving childhood cancer treatments with the goal of ultimately finding a cure for childhood cancer; the Trauma Care Systems Planning and Development Act to establish critical care networks nationwide so that more paramedics and first responders can get trauma care patients to the right doctor at the right time; and the Better Pharmaceuticals and Devices for Children Act (BPDCA) to help ensure drugs and medical devices are specifically tested, labeled, and proven to be safe and effective for children.

Reed also serves as Ranking Member of the Armed Services Committee, where he has played a pivotal role in safeguarding our nation.  In 2002, he voted against giving President George W. Bush the authority to go to war in Iraq because it was an ill-planned diversion from the war on terrorism.  But he has always worked across the aisle to support our troops, and was instrumental in convincing Defense Secretary Robert Gates to continue serving in the Obama Administration and implement the plan to withdraw forces from Iraq.

Rhode Island's defense industry is critical to national security and our state's economy, and Senator Reed has been a leader at the federal level in growing Rhode Island's defense sector and bringing resources to the state.  Thanks to his efforts on the Armed Services and Appropriations Committees, coupled with Rhode Island's talented defense workers, the U.S. Navy plans to begin building the next generation of submarines in the Ocean State, creating thousands of new, good-paying jobs in Rhode Island in the coming years. 

